Question,UserID,Reason,VerbalCode1,Code1,CodeFamily1,VerbalCode2,Code2,CodeFamily2,Assess,Status,Correct,STimeViewed,SFix,SRevisits,KTimeViewed,KFix,KRevisits,PTimeViewed,PFix,PRevisits,Gender,Birth_Year,Ethnicity,ParentEduc,STVSQRT,KTVSQRT,PTVSQRT,KFixSQRT,SFixSQRT,PFixSQRT,SRevisitsSQRT,KRevisitsSQRT,PRevisitsSQRT,MAC1,MAC2,MAC3,MAC4,MAC5,MAC6,MAC7,MAC8,MAC9,MAC10,MAC11,SMDS1,SMDS2,SMDS3,Attention_Check,SMDS4,SMDS5,SMDS6,SMDS7,SMDS8,SMDS9,SMDS10,SMDS11,SMDS12,Risk1,Risk2,Risk3,Risk4,Risk5,Risk6,Risk7
20,5,Honest.,no response,13,3, , , ,2,2,1,1.857,13,14,3.761,19,13,4.141,21,15,2,8,1,2,1.36,1.94,2.03,4.36,3.61,4.58,3.74,3.61,3.87,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
1,6,Dishonest. I think it's dishonest because that's just simply not fact. There's not any evidence to back it up or anything.,unsubstantiated claims,54,10, , , ,1,1,1,1.775,6,7,11.699,33,15,4.173,18,15,1,10,2,5,1.33,3.42,2.04,5.74,2.45,4.24,2.65,3.87,3.87,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
2,6,"""I would say that this is honest, because it's from the FDA, a very trusted source. I would I would really think it's honest. I mean, people can look at it and get all facts and stuff.""",reliable/credible source,5,2,FDA,7,2,2,2,1,2.038,6,3,4.895,20,13,3.45,17,6,1,10,2,5,1.43,2.21,1.86,4.47,2.45,4.12,1.73,3.61,2.45,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
3,6,I don't know. I don't really think that fasting as anything to do with immunity. This is very dishonest. It's not verified. We don't know who posted it.,false post has no credentials,63,10,obvious falsehood,56,10,1,1,1,17.696,49,9,2.481,10,5,5.619,19,10,1,10,2,5,4.21,1.58,2.37,3.16,7,4.36,3,2.24,3.16,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
4,6,"""No, no, no this is also not honest. It seems like they're having some recipe on, like, the handwritten recipe. That's just-- that's just not enough. That's MD. There's not enough information to know [inaudible; 0:02:20.2] MD or whatever.""",false post unclear,39,7, , , ,1,1,1,16.366,50,9,0,0,0,6.129,21,6,1,10,2,5,4.05,0,2.48,0,7.07,4.58,3,0,2.45,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
5,6,"""Dishonest. They died from Covid, because they had Covid because why would they go to the hospital? Yeah, that's very dishonest. They're just trying to push their agenda or something. Yeah.""",obvious falsehood,56,10, , , ,1,1,1,2.547,9,5,5.848,26,14,0.855,6,5,1,10,2,5,1.6,2.42,0.92,5.1,3,2.45,2.24,3.74,2.24,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
6,6,"""No, definitely not honest. Very honest. It's [inaudible; 0:03:13.9]. I mean, come on, like chlorine dioxide, I believe that probably would kill someone. That's acid.""",obvious falsehood,56,10, , , ,2,2,1,3.992,13,11,8.476,24,19,3.253,14,5,1,10,2,5,2,2.91,1.8,4.9,3.61,3.74,3.32,4.36,2.24,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
7,6,"""There may be some truth in this, but I'm not sure. Yeah, I don't know. I would have to do some digging into this, because""",cannot decide,12,3, , , ,0,1,2,3.682,11,5,2.545,10,6,0.986,5,4,1,10,2,5,1.92,1.6,0.99,3.16,3.32,2.24,2.24,2.45,2,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
8,6,"""Come on, honest. Just trying to fact check people. I just feel like the FDA is more credible, like to post something they have to actually know, have the evidence to back up. So, I would trust it in most of the posts and stuff. [Inaudible; 0:04:21.0]""",FDA,7,2,claims can be proven,26,5,2,2,1,1.987,6.624,7,2.233,7.444,9,9.728,32.426,34,1,10,2,5,1.41,1.49,3.12,2.73,2.57,5.69,2.65,3,5.83,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
9,6,"""Absolutely not. Chlorine Dioxide homeopathy. It's like medicine-- kind of traditional medicine, I believe.""",obvious falsehood,56,10, , , ,1,1,1,7.145,19,4,6.143,22,11,5.67,19,8,1,10,2,5,2.67,2.48,2.38,4.69,4.36,4.36,2,3.32,2.83,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
10,6,"""Well, that's honest. It seems honest because, come on, natural stuff and help prevent [inaudible; 0:05:07.4, sounds like """"quality degradation""""], yes. That sounds honest to me.""",looks possible/promising,29,6, , , ,2,1,2,1.216,12.241,36,9.709,3.204,10,0.016,1.758,7,1,10,2,5,1.1,3.12,0.13,1.79,3.5,1.33,6,3.16,2.65,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
11,6,"""It seems very not honest. That ad is just very I don't know. I just feel like it's just not real. The way it looks and the-- yeah. The color and everything, it's just really [inaudible; 0:05:58.7], conspiracy theory. I'm not big into that kind of stuff.""",false post looks fake,37,7, , , ,1,1,1,1.199,3,0,4.009,15,5,6.063,23,10,1,10,2,5,1.09,2,2.46,3.87,1.73,4.8,0,2.24,3.16,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
12,6,"""That experiment there was evidence by what was happening, people dying and all of that stuff. So it could be, but I'm not really a fan of something that has baseless evidence. So yeah. Just I don't know. Not honest, pretty much.""",unsubstantiated claims,54,10, , , ,1,1,1,4.073,12,7,8.049,31,12,5.372,18,9,1,10,2,5,2.02,2.84,2.32,5.57,3.46,4.24,2.65,3.46,3,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
13,6,"""OK, Nyquil is good. I've used those. Yeah, definitely trusted. So credible, also. I've used it a couple of times. So yeah.""",reliable claims,3,1, , , ,2,2,1,0.526,2,0,1.757,8,7,7.246,25,6,1,10,2,5,0.73,1.33,2.69,2.83,1.41,5,0,2.65,2.45,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
14,6,"""I think this is-- this is 2019. April 22, I mean. I don't know what-- the measles vaccine, I guess? I don't know. It's conspiracy propaganda. Yeah, I mean this is just someone making up stuff online. It's not true. It makes no sense. Definitely not.""",obvious falsehood,56,10, , , ,1,2,2,9.419,35,16,9.511,33,10,0.459,2,1,1,10,2,5,3.07,3.08,0.68,5.74,5.92,1.41,4,3.16,1,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
15,6,"""Very credible. Those antibodies can just develop. I don't know about virus, but you can't use that for Covid, because Covid is just I don't know. I think I believe I can trust this. So, it's it seems like it's something yeah.""",claims can be proven,26,5, , , ,2,1,2,11.484,43,14,4.434,23,17,0.379,1,0,1,10,2,5,3.39,2.11,0.62,4.8,6.56,1,3.74,4.12,0,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
16,6,"""OK, I don't know conspiracy theory, I guess. Like, questioning, we don't know stuff is happening. I don't-- I don't really know. There's just not enough to tell whether or not they're telling the truth. It's just""",cannot decide,12,3, , , ,0,1,2,3.764,21,16,8.606,35,23,5.405,24,11,1,10,2,5,1.94,2.93,2.32,5.92,4.58,4.9,4,4.8,3.32,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
17,6,"""I don't know it could work. It seems like that person is MD and PHD. They probably know what they're talking about. This is also approved by the FDA, so I would say [inaudible; 0:09:23.6] important.""",cannot decide,12,3, , , ,0,1,2,2.612,18,17,4.517,16,8,8.886,27,4,1,10,2,5,1.62,2.13,2.98,4,4.24,5.2,4.12,2.83,2,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
18,6,"""Iceland is known. It's very, very known. Very [inaudible; 0:09:30.1, sounds like: """"common, so""""]. I think oh, New Zealand. Never mind.""",reliable/credible source,5,2, , , ,2,2,1,3.809,15,14,7.017,29,19,7.424,27,14,1,10,2,5,1.95,2.65,2.72,5.39,3.87,5.2,3.74,4.36,3.74,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
19,6,"""I can't read that very well, but yeah, I'm not sure.""",cannot decide,12,3, , , ,0,1,2,6.901,25,8,3.893,16,9,0.839,6,4,1,10,2,5,2.63,1.97,0.92,4,5,2.45,2.83,3,2,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
20,6,Credible because it's Harvard Public Health.,Harvard,8,2, , , ,2,2,1,1.971,15,14,7.852,30,20,4.124,20,17,1,10,2,5,1.4,2.8,2.03,5.48,3.87,4.47,3.74,4.47,4.12,4,3,2,4,3,1,2,5,3,1,1,3,5,5,3,2,3,5,4,4,5,2,5,4,9,6,5,6,7,8,5
1,8,"""Yep, so I would say this is dishonest, just because they have no evidence of the markers.""",unsubstantiated claims,54,10, , , ,1,1,1,1.676,13,12,2.547,19,14,5.256,28,17,2,12,6,6,1.29,1.6,2.29,4.36,3.61,5.29,3.46,3.74,4.12,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
2,8,"""For this one I would say it was -- it is honest because it's from the FDA and they link a .government site, so it's somewhat credible.""",FDA,7,2, , , ,2,2,1,3.169,16,16,0.41,7,6,0.509,4,2,2,12,6,6,1.78,0.64,0.71,2.65,4,2,4,2.45,1.41,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
3,8,"""This one seems honest, just because it's showing a celebrity doing a type of diet. So, that's truthful, I would say.""",more appealing,30,6, , , ,2,1,2,2.941,21,17,0,0,0,0.855,4,1,2,12,6,6,1.71,0,0.92,0,4.58,2,4.12,0,1,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
4,8, ,no response,13,3, , , ,0,1,2,4.911,20,11,0.77,7,4,4.667,20,9,2,12,6,6,2.22,0.88,2.16,2.65,4.47,4.47,3.32,2,3,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
5,8,"""I would say this is dishonest. There's, like, multiple reasons why someone could die from Covid or at least be hospitalized from Covid. So""",unsubstantiated claims,54,10, , , ,1,1,1,2.694,20,14,2.58,14,6,0,0,0,2,12,6,6,1.64,1.61,0,3.74,4.47,0,3.74,2.45,0,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
6,8,"""I would say this is honest, just because it's from the FDA and they're kind of making like a warning letter for, like, an unapproved chlorine dioxide product, which makes sense because it's not approved yet or it's not approved at all.""",FDA,7,2, , , ,2,2,1,0.276,3,2,0.115,1,0,2.118,9,2,2,12,6,6,0.53,0.34,1.46,1,1.73,3,1.41,0,1.41,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
7,8,"""social media post, but I think it would be honest.""",reliable article,2,1, , , ,2,1,2,1.76,14,12,0.706,5,4,1.579,11,8,2,12,6,6,1.33,0.84,1.26,2.24,3.74,3.32,3.46,2,2.83,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
8,8,"""Yeah, I would say this is honest. It's kind of worded a little funny though, but it's kind of explaining why you shouldn't use this specific drug to treat Covid because I guess a lot of people are doing that.""",claims can be proven,26,5, , , ,2,2,1,0.986,3.287,8,0.493,1.645,5,12.733,42.442,53,2,12,6,6,0.99,0.7,3.57,1.28,1.81,6.51,2.83,2.24,7.28,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
9,8,"""Oh well, this is like some random letter or some-- or like an article on chlorine dioxide, which in the past ones they said not to use. So""",false post from random person,59,10, , , ,1,1,1,2.383,12,9,2.991,20,13,2.53,17,13,2,12,6,6,1.54,1.73,1.59,4.47,3.46,4.12,3,3.61,3.61,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
10,8,"""I would say what they're marketing is trying to be honest, but I don't know how much it's actually, like, going to work. So, I kind of think it's like a just a marketing scam, because  a lot of companies try to market, like, these collagen things.""",false post is biased ad,33,7, , , ,1,1,1,1.165,5.473,27,8.476,3.122,15,0.08,1.511,5,2,12,6,6,1.08,2.91,0.28,1.77,2.34,1.23,5.2,3.87,2.24,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
11,8,"""I don't know, I guess they're honest in kind of what they're marketing.""",looks possible/promising,29,6, , , ,2,1,2,2.248,11,5,0.771,5,3,0.394,2,1,2,12,6,6,1.5,0.88,0.63,2.24,3.32,1.41,2.24,1.73,1,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
12,8,"""This is dishonest, I would say. They're just kind of saying whatever they want with, like, no proof. And, yeah, no help from, like, FDA officials and stuff.""",unsubstantiated claims,54,10, , , ,1,1,1,1.724,13,9,8.541,43,25,0.82,7,5,2,12,6,6,1.31,2.92,0.91,6.56,3.61,2.65,3,5,2.24,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
13,8,"""I would say this is honest because I mean most people use Nyquil, Dayquil for cough and cold relief. So I've seen it and I've used it. So, I think this is honest what they're trying to market.""",familiarity,15,4, , , ,2,2,1,0,0,0,1.675,10,7,6.39,21,7,2,12,6,6,0,1.29,2.53,3.16,0,4.58,0,2.65,2.65,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
14,8,"""I wouldn't say it would be like dishonest, but it's kind of, like, more opinionated, so""",false post based on opinion,58,10, , , ,1,2,2,6.211,31,17,5.584,32,16,0,0,0,2,12,6,6,2.49,2.36,0,5.66,5.57,0,4.12,4,0,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
15,8,"""This is dishonest because, I mean, there is like hospitals like filled and there was like body bags after Covid. So""",obvious falsehood,56,10, , , ,1,1,1,10.905,59,27,0.148,2,1,0.23,3,2,2,12,6,6,3.3,0.38,0.48,1.41,7.68,1.73,5.2,1,1.41,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
16,8,"""Yeah, this is honest. There's like been scientific research on, like, antibiotics and they don't really treat viruses at all. I mean you go to a doctor and they don't give you antibiotics for a virus.""",antibiotics for bacteria,22,5, , , ,2,2,1,0.821,9,8,0.131,1,0,0.476,3,2,2,12,6,6,0.91,0.36,0.69,1,3,1.73,2.83,0,1.41,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
17,8,"""It seems like it's honest. I mean they're just stating, like, [inaudible; 0:08:45.6] with a local anti-vaccine advocate. So""",reliable article,2,1, , , ,2,1,2,2.402,20,17,0.148,1,0,0.575,2,1,2,12,6,6,1.55,0.38,0.76,1,4.47,1.41,4.12,0,1,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
18,8,"""It seems like it's honest. Yeah, the FDA approved a new treatment for weight loss, which I don't know much that does. """"Waistline"""" yeah, this seems honest.""",FDA,7,2, , , ,2,2,1,2.99,25,20,7.969,45,30,0.345,3,2,2,12,6,6,1.73,2.82,0.59,6.71,5,1.73,4.47,5.48,1.41,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
19,8,"""It's just like a medication for diabetes, or like a support.""",looks possible/promising,29,6, , , ,2,1,2,6.931,33,19,1.889,14,12,0.328,4,3,2,12,6,6,2.63,1.37,0.57,3.74,5.74,2,4.36,3.46,1.73,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
20,8,"""Yeah, that makes sense. I would say this is honest. I mean most supplements just are filled with chemicals.""",reliable article,2,1, , , ,2,2,1,0.921,9,9,0.296,5,4,2.958,16,7,2,12,6,6,0.96,0.54,1.72,2.24,3,4,3,2,2.65,3,3,3,4,2,1,4,4,3,2,2,5,2,1,3,4,3,3,4,4,3,1,1,3,6,7,7,3,9,2,2
1,9,"""I think it's honest and it's a very, like, opinionated statement because she's taking something from the other post.""",cited,14,4, , , ,2,1,2,2.761,14,10,4.96,22,15,6.653,26,16,1,10,1,4,1.66,2.23,2.58,4.69,3.74,5.1,3.16,3.87,4,4,4,2,3,4,2,4,4,2,3,2,4,4,3,3,2,4,4,4,3,5,1,5,5,5,3,5,4,7,6,5
2,9,"""This seems honest to me. It's from the FDA, like posted themselves, and then they post a link where you can go read more about it. So, even if it was dishonest you could go further and, like, double check. But, to me, it seems honest.""",FDA,7,2,links,16,4,2,2,1,4.536,24,23,3.107,19,18,4.682,15,9,1,10,1,4,2.13,1.76,2.16,4.36,4.9,3.87,4.8,4.24,3,4,4,2,3,4,2,4,4,2,3,2,4,4,3,3,2,4,4,4,3,5,1,5,5,5,3,5,4,7,6,5
3,9,"""This seems like it might be dishonest, to me. They just took two pictures of Jennifer Anniston and put them next to each other, to try to push their fasting technique.""",false post looks fake,37,7, , , ,1,1,1,14.687,54,12,3.12,12,6,6.736,25,10,1,10,1,4,3.83,1.77,2.6,3.46,7.35,5,3.46,2.45,3.16,4,4,2,3,4,2,4,4,2,3,2,4,4,3,3,2,4,4,4,3,5,1,5,5,5,3,5,4,7,6,5
4,9,"""This seems like it's probably dishonest, but also home remedies for things are kind of an opinionated thing to begin with.""",false post based on opinion,58,10, , , ,1,1,1,8.133,32,13,0.773,6,6,5.636,18,5,1,10,1,4,2.85,0.88,2.37,2.45,5.66,4.24,3.61,2.45,2.24,4,4,2,3,4,2,4,4,2,3,2,4,4,3,3,2,4,4,4,3,5,1,5,5,5,3,5,4,7,6,5
5,9,This seems like a fact or an honest based on what she knows.,looks possible/promising,29,6, , , ,2,1,2,6.342,25,16,7.329,28,8,0.213,1,0,1,10,1,4,2.52,2.71,0.46,5.29,5,1,4,2.83,0,4,4,2,3,4,2,4,4,2,3,2,4,4,3,3,2,4,4,4,3,5,1,5,5,5,3,5,4,7,6,5
6,9,"""This seems honest to me. The official page and then a link to another page, kind of shows me that it might be honest.""",reliable article,2,1,links,16,4,2,2,1,3.352,14,8,4.075,21,15,3.006,19,13,1,10,1,4,1.83,2.02,1.73,4.58,3.74,4.36,2.83,3.87,3.61,4,4,2,3,4,2,4,4,2,3,2,4,4,3,3,2,4,4,4,3,5,1,5,5,5,3,5,4,7,6,5
